Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Cenk Özkacar,tr TUR,ZG,Valencia,22,23,18,0,0,0,0,3,0,0.3,0.1,17,56,5
Jon Pacheco,es ESP,ZG,Real Sociedad,22,23,16,1,1,0,0,8,0,1.1,0.2,9,53,1
Isaac Palazón Camacho,es ESP,"LT,AT",Rayo Vallecano,28,37,34,4,1,2,2,8,0,5.9,1.9,40,128,152
Joaquín Panichelli,ar ARG,"AT,LT",Alavés,20,8,2,0,0,0,0,0,0,0.6,0.1,3,6,10
Sokratis Papastathopoulos,gr GRE,ZG,Betis,35,15,12,0,0,0,0,6,0,0.3,0.0,1,13,1
Victor Parada,es ESP,"AT,LT",Alavés,21,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Aitor Paredes,es ESP,ZG,Athletic Club,23,34,31,1,0,0,0,9,1,1.2,0.2,6,107,1
Daniel Parejo,es ESP,LT,Villarreal,34,33,29,3,5,3,3,4,0,2.9,3.0,11,210,28
Pascu,es ESP,AT,Villarreal,20,1,0,0,0,0,0,0,0,0.0,0.0,0,2,1
Gabriel Paulista,br BRA,ZG,Atlético Madrid,32,5,5,0,0,0,0,1,0,0.2,0.1,1,7,0
Gabriel Paulista,br BRA,ZG,Valencia,32,18,16,0,0,0,0,6,1,0.4,0.2,2,33,2
Nicolás Paz,ar ARG,"LT,AT",Real Madrid,18,4,0,0,0,0,0,0,0,0.1,0.0,3,6,2
Alfonso Pedraza,es ESP,ZG,Villarreal,27,19,14,1,3,0,0,4,1,0.6,3.6,56,31,97
Pedri,es ESP,"LT,AT",Barcelona,20,24,16,4,2,0,0,3,0,3.1,4.2,41,136,81
Adrià Pedrosa,es ESP,ZG,Sevilla,25,31,15,1,4,0,0,1,0,0.7,3.2,46,61,109
Facundo Pellistri,uy URU,"LT,AT",Granada,21,15,14,2,1,0,0,2,1,2.5,1.2,33,22,96
Iñaki Peña ,es ESP,G,Barcelona,24,10,10,0,0,0,0,0,0,0.0,0.0,0,0,0
Marcos Peña,es ESP,LT,Almería,18,7,4,0,0,0,0,3,0,0.2,0.0,0,10,0
Rubén Peña,es ESP,"ZG,AT",Osasuna,32,29,26,0,2,0,0,3,0,0.9,2.6,62,78,147
Alberto Perea,es ESP,"LT,AT",Granada,32,2,0,0,0,0,0,0,0,0.0,0.1,0,2,1
Ayoze Pérez,es ESP,AT,Betis,30,31,29,9,1,0,0,4,0,7.4,3.9,90,80,175
