Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Ilhan Fakili,fr FRA,"LT,AT",Clermont Foot,17,3,1,0,0,0,0,0,0,0.2,0.0,2,4,7
Khalil Fayad,fr FRA,"AT,LT",Montpellier,19,23,11,3,0,0,0,2,0,1.9,0.5,18,35,47
Ichem Ferrah,fr FRA,AT,Lille,17,1,0,0,0,0,0,0,0,0.0,0.0,0,0,2
Jordan Ferri,fr FRA,LT,Montpellier,31,30,23,1,1,0,0,6,0,0.6,1.9,37,173,68
Malick Fofana,be BEL,AT,Lyon,18,17,4,3,0,0,0,0,0,1.8,0.5,26,10,60
Youssouf Fofana,fr FRA,LT,Monaco,24,32,31,4,4,0,0,3,0,5.0,3.4,53,249,86
Thomas Foket,be BEL,ZG,Reims,28,27,22,0,1,0,0,9,1,0.2,0.9,24,65,84
Tiago Fonseca Morais,pt POR,AT,Lille,19,3,0,0,0,0,0,0,0,0.4,0.0,3,3,2
Przemysław Frankowski,pl POL,ZG,Lens,28,30,24,3,2,1,2,4,0,3.7,3.8,56,112,210
Jean Frederic N'Guessan,ci CIV,"LT,AT",Metz,20,6,1,0,0,0,0,0,0,0.1,0.0,1,5,2
Angelo Fulgini,fr FRA,LT,Lens,26,29,16,1,2,0,0,1,0,3.2,3.2,35,74,117
Kévin Gameiro,fr FRA,"AT,LT",Strasbourg,36,27,15,4,2,2,2,0,0,3.4,2.7,26,44,81
Ignatius Ganago,cm CMR,"AT,LT",Nantes,24,6,2,0,0,0,0,0,0,0.4,0.6,7,5,26
Ulisses Garcia,ch SUI,ZG,Marseille,27,13,10,0,0,0,0,0,0,0.5,0.9,21,52,66
Johan Gastien,fr FRA,LT,Clermont Foot,35,28,28,0,0,0,0,7,0,0.3,2.4,21,168,21
Yann Gboho,fr FRA,"LT,AT",Toulouse,22,16,13,3,2,0,0,1,0,1.2,1.7,65,48,97
Gelabert,es ESP,"LT,AT",Toulouse,22,16,10,1,2,0,0,1,0,0.8,1.3,14,33,57
Denis Genreau,au AUS,"LT,AT",Toulouse,24,9,5,0,0,0,0,0,0,0.4,0.4,6,14,27
Samuel Gigot,fr FRA,ZG,Marseille,29,21,20,3,0,0,0,7,1,2.4,0.9,10,54,8
Aleksandr Golovin,ru RUS,"LT,AT",Monaco,27,25,25,6,6,0,0,8,1,3.4,4.7,50,172,157
Angel Gomes,eng ENG,LT,Lille,22,31,29,0,8,0,0,5,0,2.0,6.2,49,204,71
Maxime Gonalons,fr FRA,LT,Clermont Foot,34,21,17,1,0,0,0,4,0,0.4,0.2,8,81,10
Mathieu Gorgelin,fr FRA,G,Le Havre,32,1,1,0,0,0,0,1,0,0.0,0.0,0,0,0
Amine Gouiri,dz ALG,"AT,LT",Rennes,23,31,24,7,3,0,0,2,0,7.4,1.7,59,82,185
Jonathan Gradit,fr FRA,ZG,Lens,30,26,26,1,0,0,0,9,1,0.3,0.1,21,177,6
Samuel Grandsir,fr FRA,"LT,AT",Le Havre,26,23,4,1,1,0,1,4,2,2.6,1.2,22,35,68
Adrian Grbić,at AUT,AT,Lorient,26,1,0,0,0,0,0,0,0,0.1,0.0,0,0,4
Gabriel Gudmundsson,se SWE,"ZG,AT",Lille,24,25,14,1,0,0,0,2,0,1.1,1.2,39,37,66
Axel Gueguin,fr FRA,"ZG,AT",Montpellier,18,3,1,0,0,0,0,0,0,0.0,0.1,2,3,6
Mattéo Guendouzi,fr FRA,LT,Marseille,24,2,0,0,0,0,0,0,0,0.5,0.0,2,1,1
Evann Guessand,fr FRA,AT,Nice,22,34,14,6,0,2,2,1,0,8.4,1.4,40,34,114
Pape Gueye,sn SEN,"LT,ZG",Marseille,24,15,9,1,0,0,0,2,0,0.4,0.8,8,61,18
Morgan Guilavogui,gn GUI,"AT,LT",Lens,25,23,2,2,0,0,0,1,0,1.6,1.2,16,36,75
Frederic Guilbert,fr FRA,"ZG,LT",Strasbourg,28,32,29,2,0,0,0,3,0,1.1,1.6,32,116,70
Jaouen Hadjam,dz ALG,ZG,Nantes,20,8,0,0,0,0,0,0,0,0.0,0.4,6,10,17
Massadio Haïdara,ml MLI,ZG,Lens,30,18,7,0,1,0,0,1,0,0.1,0.2,8,40,25
Oualid El Hajjam,ma MAR,"ZG,LT",Le Havre,32,13,4,0,0,0,0,1,0,0.4,0.9,7,16,27
Achraf Hakimi,ma MAR,ZG,Paris S-G,24,25,20,4,5,0,0,3,0,4.2,5.2,84,218,230
