Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Wallisson Luiz,br BRA,"LT,AT",Moreirense,25,11,1,0,0,0,0,3,1,0.2,0.0,1,8,3
Rodrigo Macedo,pt POR,"AT,LT",Moreirense,20,5,0,0,0,0,0,0,0,0.4,0.0,2,2,5
Tiago Machado,pt POR,"LT,AT",Boavista,19,5,0,0,0,0,0,0,0,0.0,0.0,0,0,2
Madson,br BRA,"AT,LT",Moreirense,23,25,14,5,1,0,0,2,0,3.2,1.4,59,23,135
Miguel Magalhães,pt POR,"ZG,LT",Vitória,20,22,8,0,0,0,0,2,0,0.6,0.4,11,36,46
Magrão,br BRA,G,Rio Ave,23,7,7,0,0,0,0,0,0,0.0,0.0,0,0,0
Gaius Makouta,cg CGO,LT,Boavista,26,30,27,2,2,0,0,9,0,2.1,1.1,51,102,83
Pedro Malheiro,pt POR,"ZG,LT",Boavista,22,23,23,2,2,0,0,9,1,0.5,2.7,33,66,53
Eliaquim Mangala,fr FRA,ZG,Estoril,32,17,12,1,0,0,0,3,0,0.9,0.1,2,26,0
Ricardo Mangas,pt POR,"LT,ZG",Vitória,25,23,21,1,3,0,0,2,0,2.0,3.1,46,56,154
Mansur,br BRA,ZG,Estrela,30,20,15,0,1,0,0,6,2,0.3,1.2,17,58,13
Manuel Manu,pt POR,"ZG,LT",Vitória,22,23,19,2,0,0,0,5,0,1.3,0.5,8,70,5
Zé Manuel,pt POR,"AT,LT",Rio Ave,32,24,3,2,0,0,0,2,0,1.7,0.6,7,17,28
Maracás,br BRA,ZG,Moreirense,29,29,29,3,0,0,0,6,1,1.8,0.1,3,53,0
Iván Marcano,es ESP,ZG,Porto,36,5,5,2,0,0,0,1,0,1.3,0.1,6,45,0
Adrián Marín,es ESP,ZG,Braga,26,8,3,0,0,0,0,0,0,0.2,0.3,8,21,19
João Mário,pt POR,"AT,LT",Benfica,30,31,29,3,1,1,1,4,0,7.0,2.5,69,192,186
João Mário Lopes,pt POR,ZG,Porto,23,27,25,2,1,0,0,5,0,1.2,2.6,99,129,190
Marlon,br BRA,"AT,LT",Gil Vicente FC,25,13,4,0,0,0,0,2,0,0.1,0.4,14,15,37
Uladzislaŭ Marozaŭ,by BLR,"AT,LT",Arouca,22,3,2,0,0,0,0,0,0,0.2,0.0,3,0,6
Alejandro Marqués,ve VEN,AT,Estoril,22,31,13,9,1,1,1,3,0,7.1,0.7,5,16,39
Gustavo Marques,br BRA,ZG,Benfica,21,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Igor Marques,br BRA,"ZG,LT",Portimonense,24,27,16,1,1,0,0,5,0,0.2,1.5,37,57,59
João Marques,pt POR,"LT,AT",Estoril,21,32,22,5,5,0,0,8,0,4.1,2.5,40,73,94
Toni Martínez,es ESP,AT,Porto,26,20,5,4,0,0,0,3,0,2.6,0.6,4,5,36
Rafael Martins,br BRA,LT,Casa Pia,34,2,0,0,0,0,0,0,0,0.0,0.0,0,0,1
Rodrigo Martins,pt POR,"ZG,AT",Estoril,24,2,0,0,0,0,0,0,0,0.0,0.0,1,0,0
Rodrigo Martins,pt POR,AT,Portimonense,24,9,2,0,0,0,0,1,0,0.6,0.2,11,7,14
Matheus,br BRA,G,Braga,31,34,34,0,0,0,0,3,0,0.0,0.0,0,3,0
Marco Matias,pt POR,"AT,LT",Farense,34,33,29,2,5,0,0,4,0,5.9,3.2,44,54,118
Nuno Matos,pt POR,ZG,Braga,18,1,0,0,0,0,0,0,0,0.0,0.0,1,0,1
Maurício,br BRA,LT,Portimonense,34,7,6,0,0,0,0,1,0,0.7,0.0,2,16,4
Rodrigo Melro,pt POR,ZG,Chaves,19,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
João Mendes,pt POR,"AT,LT",Vitória,28,26,18,7,3,0,0,4,1,5.6,3.4,38,82,106
Joe Mendes,se SWE,ZG,Braga,20,17,11,0,2,0,0,1,0,0.0,2.4,38,35,72
Pedro Mendes,pt POR,ZG,Estrela,32,13,11,0,0,0,0,1,0,0.2,0.0,0,13,0
Alexis Méndez,us USA,"LT,AT",Vizela,22,12,3,0,1,0,0,1,0,0.3,1.0,5,28,18
Miguel Menino,pt POR,LT,Sporting CP,20,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Benji Michel,us USA,"AT,LT",Arouca,25,5,0,0,0,0,0,0,0,0.1,0.1,2,3,4
João Miguel,pt POR,ZG,Porto,23,5,3,0,1,0,0,0,0,0.1,0.5,11,21,26
Enea Mihaj,al ALB,ZG,Famalicão,25,18,18,0,0,0,0,5,0,0.7,0.1,4,39,0
Mika,pt POR,G,Moreirense,32,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Bogdan Milovanov,ua UKR,ZG,Arouca,25,22,12,0,0,0,0,4,1,0.2,0.4,22,42,51
Vinicius Mingotti,br BRA,AT,Moreirense,23,16,6,1,0,0,0,2,0,1.3,0.7,1,4,16
Miro,ao ANG,"AT,LT",Gil Vicente FC,20,5,1,0,0,0,0,0,0,0.1,0.0,1,3,4
Cezary Miszta,pl POL,G,Rio Ave,21,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0
Miguel Monteiro,pt POR,AT,Gil Vicente FC,20,9,1,1,1,0,0,0,0,1.0,0.2,4,1,9
Francisco Montero,es ESP,ZG,Arouca,24,29,29,1,1,0,0,9,0,0.8,0.5,20,107,5
Morato,br BRA,ZG,Benfica,22,21,17,0,1,0,0,2,0,0.6,2.0,28,65,61
