Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Obite N'Dicka,ci CIV,ZG,Roma,23,25,25,0,3,0,0,6,0,1.0,1.0,26,87,11
Nahitan Nández,uy URU,"LT,ZG",Cagliari,27,33,29,2,3,1,1,7,0,3.7,2.5,57,76,89
Natan,br BRA,ZG,Napoli,22,14,11,0,0,0,0,3,1,0.4,0.1,15,34,11
Lapo Nava,it ITA,G,Milan,19,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Michel Ndary Adopo,fr FRA,LT,Atalanta,23,10,0,0,1,0,0,0,0,0.1,0.1,3,9,16
Dan Ndoye,ch SUI,"AT,LT",Bologna,22,32,20,1,1,0,0,4,0,4.9,1.8,88,36,173
Cyril Ngonge,be BEL,"AT,LT",Hellas Verona,23,19,17,6,2,0,0,4,0,4.2,1.7,53,44,117
Cyril Ngonge,be BEL,AT,Napoli,23,13,1,1,0,0,0,2,0,1.0,0.8,18,11,43
M'Baye Niang,sn SEN,AT,Empoli,28,14,5,6,1,4,4,1,0,5.4,0.9,13,11,43
Hans Nicolussi Caviglia,it ITA,LT,Juventus,23,8,3,0,1,0,0,1,0,0.1,0.6,0,14,2
Joseph Nonge,be BEL,LT,Juventus,18,2,0,0,0,0,0,1,0,0.0,0.0,1,2,2
Tijjani Noslin,nl NED,"AT,LT",Hellas Verona,24,17,17,5,4,0,0,2,0,3.6,2.2,29,26,94
Simeon Nwankwo,ng NGA,AT,Salernitana,31,15,6,3,0,0,0,0,0,2.7,0.6,6,7,39
M'Bala Nzola,ao ANG,AT,Fiorentina,26,33,15,3,3,1,1,2,0,4.5,1.6,21,29,143
Adam Obert,sk SVK,ZG,Cagliari,20,17,10,0,0,0,0,1,0,0.1,0.9,14,37,5
Pedro Obiang,gq EQG,LT,Sassuolo,31,8,5,0,0,0,0,1,0,0.0,0.7,4,21,2
Guillermo Ochoa,mx MEX,G,Salernitana,38,21,21,0,0,0,0,0,0,0.0,0.0,0,0,0
Jens Odgaard,dk DEN,"AT,LT",Bologna,24,10,5,2,0,0,0,1,0,1.5,0.1,9,9,30
Noah Okafor,ch SUI,"AT,LT",Milan,23,28,6,6,2,0,0,1,0,3.8,1.2,29,15,66
David Okereke,ng NGA,"AT,LT",Torino,25,9,3,0,0,0,0,0,0,0.2,0.1,8,7,23
Caleb Okoli,it ITA,ZG,Frosinone,22,34,32,0,1,0,0,9,0,0.6,0.8,22,118,4
Maduka Okoye,ng NGA,G,Udinese,23,21,21,0,0,0,0,2,0,0.0,0.0,0,0,0
Mathías Olivera,uy URU,ZG,Napoli,25,23,18,1,1,0,0,3,0,0.5,0.9,31,89,93
Gaetano Oristanio,it ITA,"AT,LT",Cagliari,20,25,11,2,1,0,0,1,0,1.8,1.1,25,26,76
Riccardo Orsolini,it ITA,"AT,LT",Bologna,26,33,19,10,2,2,3,2,0,7.4,4.4,51,71,175
Victor Osimhen,ng NGA,AT,Napoli,24,25,22,15,3,3,5,6,1,15.4,3.1,34,23,142
Remi Oudin,fr FRA,"LT,AT",Lecce,26,31,21,3,2,0,0,3,0,1.8,5.7,19,79,82
Anthony Oyono,ga GAB,ZG,Frosinone,22,16,14,0,1,0,0,4,0,0.1,0.9,35,33,39
Simone Pafundi,it ITA,LT,Udinese,17,1,0,0,0,0,0,0,0,0.0,0.0,0,1,1
